,State,STNAME,Coc,CoC Code,FIPS code,CTYNAME,Year,Population
248,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2015,4174423.0
249,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2015,10077263.0
250,CA,California,San Diego City and County,CA-601,6073,San Diego County,2015,3280825.0
251,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2015,1915736.0
252,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2015,2114352.0
253,CA,California,San Francisco,CA-501,6075,San Francisco County,2015,863237.0
254,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2015,490448.0
255,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2015,631688.0
256,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2015,318408.0
257,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2015,64914.0
258,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2015,683328.0
259,CO,Colorado,Metropolitan Denver,CO-503,8035,Douglas County,2015,322333.0
260,CO,Colorado,Metropolitan Denver,CO-503,8059,Jefferson County,2015,565240.0
261,DC,District of Columbia,District of Columbia,DC-500,11001,District of Columbia,2015,677014.0
262,FL,Florida,Tampa/Hillsborough County,FL-501,12057,Hillsborough County,2015,1364645.0
263,GA,Georgia,Atlanta,GA-500,5049,Fulton County,2015,1005752.0
264,IL,Illinois,Chicago,IL-510,17031,Cook County,2015,5243371.0
265,MA,Massachusetts,Boston,MA-500,25025,Suffolk County,2015,783177.0
266,MI,Michigan,Detroit,MI-501,26163,Wayne County,2015,1764866.0
267,NV,Nevada,Las Vegas/Clark County,NV-500,32003,Clark County,2015,2097832.0
268,NY,New York,New York City,NY-600,36005,Bronx County,2015,1439480.0
269,NY,New York,New York City,NY-600,36047,Kings County,2015,2608797.0
270,NY,New York,New York City,NY-600,36061,New York County,2015,1637327.0
271,NY,New York,New York City,NY-600,36081,Queens County,2015,2305252.0
272,NY,New York,New York City,NY-600,36085,Richmond County,2015,472301.0
273,PA,Pennsylvania,Philadelphia,PA-500,42101,Philadelphia Count,2015,
274,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48201,Harris County,2015,4556559.0
275,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48339,Montgomery County,2015,535913.0
276,TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",TX-700,48157,Fort Bend County,2015,715260.0
277,TX,Texas,Austin/Travis County,TX-503,48453,Travis County,2015,1180003.0
278,WA,Washington,Seattle/King,WA-500,53033,King County,2015,2127372.0
279,AZ,Arizona,"Phoenix,Mesa/Maricopa",AZ-502,4013,Maricopa County,2016,4258019.0
280,CA,California,Los Angeles City & County,CA-600,6037,Los Angeles County,2016,10094865.0
281,CA,California,San Diego City and County,CA-601,6073,San Diego County,2016,3305462.0
282,CA,California,San Jose/Santa Clara City & County,CA-500,6085,Santa Clara County,2016,1928144.0
283,CA,California,San Bernardino City & County,CA-609,6071,San Bernardino County,2016,2130726.0
284,CA,California,San Francisco,CA-501,6075,San Francisco County,2016,871343.0
285,CO,Colorado,Metropolitan Denver,CO-503,8001,Adams County,2016,497735.0
286,CO,Colorado,Metropolitan Denver,CO-503,8005,Arapahoe County,2016,639605.0
287,CO,Colorado,Metropolitan Denver,CO-503,8013,Boulder County,2016,321761.0
288,CO,Colorado,Metropolitan Denver,CO-503,8014,Broomfield County,2016,66596.0
289,CO,Colorado,Metropolitan Denver,CO-503,8031,Denver County,2016,696273.0
